@relation activity_recognition_labeled

@attribute "X0" numeric
@attribute "X1" numeric
@attribute "X2" numeric
@attribute "X3" numeric
@attribute "X4" numeric
@attribute "Y0" numeric
@attribute "Y1" numeric
@attribute "Y2" numeric
@attribute "Y3" numeric
@attribute "Y4" numeric
@attribute "Z0" numeric
@attribute "Z1" numeric
@attribute "Z2" numeric
@attribute "Z3" numeric
@attribute "Z4" numeric
@attribute "XAVG" numeric
@attribute "YAVG" numeric
@attribute "ZAVG" numeric
@attribute "XSTANDDEV" numeric
@attribute "YSTANDDEV" numeric
@attribute "ZSTANDDEV" numeric
@attribute "RESULTANT" numeric
@attribute class{ "Driving", "Walking" , "Sitting" , "Standing", "Still" }

@data
0.22,0.21,0.22,0.19,0.20,0.23,0.20,0.18,0.20,0.20,0.24,0.18,0.23,0.18,0.18,0,8.67,2.03,1.94,4.15,1.94,9.45,Walking
0.14,0.11,0.12,0.10,0.09,0.09,0.14,0.10,0.12,0.11,0.11,0.13,0.08,0.10,0.12,0,5,1.33,2.23,6.15,2.23,5.43,Walking
0.18,0.21,0.26,0.22,0.15,0.21,0.21,0.21,0.20,0.15,0.21,0.18,0.23,0.17,0.22,0,8.94,1.69,5.65,7.69,5.65,12.85,Walking
0.21,0.19,0.17,0.21,0.22,0.18,0.17,0.23,0.19,0.19,0.19,0.24,0.17,0.24,0.17,0,10.02,1.52,6.82,7.58,6.82,13.93,Walking
0.17,0.16,0.14,0.13,0.19,0.17,0.18,0.13,0.17,0.11,0.17,0.14,0.16,0.16,0.18,0,6.97,1.42,6.55,8.2,6.55,10.61,Walking
0.16,0.18,0.23,0.23,0.20,0.23,0.17,0.21,0.18,0.22,0.16,0.23,0.22,0.20,0.19,0,9.59,0.21,3.04,5.02,3.04,10.68,Walking
0.20,0.23,0.17,0.19,0.22,0.18,0.20,0.21,0.25,0.17,0.22,0.23,0.21,0.16,0.21,0,9.64,0.21,3.12,4.69,3.12,10.86,Walking
0.21,0.18,0.20,0.15,0.17,0.17,0.21,0.16,0.17,0.20,0.21,0.11,0.15,0.22,0.19,0,8.49,0.53,3.09,4.96,3.09,9.67,Walking
0.14,0.27,0.30,0.19,0.12,0.17,0.24,0.23,0.18,0.13,0.19,0.19,0.19,0.26,0.19,0,9.7,0.69,5.88,7.73,5.88,13.26,Walking
0.18,0.23,0.17,0.26,0.18,0.20,0.20,0.20,0.16,0.16,0.19,0.20,0.22,0.25,0.16,0,10.48,0.76,7.15,7.8,7.15,14.48,Walking
0.23,0.16,0.20,0.19,0.23,0.22,0.22,0.15,0.18,0.16,0.21,0.20,0.25,0.19,0.18,0,10.04,0.72,7.32,7.9,7.32,14.28,Walking
0.28,0.11,0.20,0.21,0.21,0.22,0.20,0.17,0.27,0.10,0.25,0.20,0.19,0.16,0.23,0,9.41,0.22,7.66,8.49,7.66,14.63,Walking
0.21,0.23,0.18,0.19,0.21,0.20,0.21,0.20,0.20,0.14,0.22,0.15,0.20,0.25,0.21,0,10.18,0.96,7.3,7.63,7.3,14.18,Walking
0.19,0.23,0.20,0.22,0.19,0.23,0.22,0.20,0.16,0.14,0.20,0.19,0.22,0.19,0.22,0,9.47,0.91,7.32,7.96,7.32,13.71,Walking
0.21,0.19,0.16,0.19,0.27,0.19,0.17,0.20,0.27,0.10,0.20,0.24,0.17,0.18,0.23,0,10.45,0.68,7.87,7.85,7.87,14.85,Walking
0.22,0.20,0.16,0.24,0.22,0.25,0.19,0.21,0.20,0.08,0.17,0.21,0.21,0.20,0.23,0,9.04,0.95,7.59,7.93,7.59,13.68,Walking
0.17,0.19,0.27,0.18,0.19,0.16,0.16,0.28,0.21,0.12,0.19,0.27,0.19,0.16,0.18,0,9.81,0.44,6.91,7.54,6.91,13.49,Walking
0.39,0.18,0.20,0.11,0.14,0.17,0.16,0.33,0.17,0.20,0.18,0.14,0.26,0.24,0.20,0,9.92,-0.06,2.8,3.2,2.8,10.53,Walking
0.13,0.20,0.27,0.21,0.21,0.19,0.24,0.14,0.25,0.20,0.15,0.21,0.23,0.23,0.20,0,9.71,-0.06,3.51,3.35,3.51,10.55,Walking
0.19,0.19,0.24,0.19,0.22,0.23,0.19,0.19,0.19,0.23,0.21,0.21,0.21,0.20,0.19,0,9.69,-0.28,3.58,3.52,3.58,10.61,Walking
0.23,0.16,0.21,0.24,0.19,0.24,0.21,0.18,0.19,0.20,0.24,0.14,0.21,0.23,0.20,0,9.63,-0.15,3.53,3.44,3.53,10.56,Walking
0.25,0.15,0.18,0.23,0.20,0.19,0.25,0.15,0.21,0.23,0.25,0.20,0.20,0.18,0.21,0,9.75,-0.29,3.51,3.38,3.51,10.65,Walking
0.22,0.18,0.19,0.21,0.21,0.20,0.22,0.21,0.21,0.18,0.20,0.23,0.20,0.17,0.22,0,9.67,-0.09,3.52,3.26,3.52,10.59,Walking
0.22,0.22,0.18,0.17,0.23,0.22,0.19,0.18,0.21,0.22,0.24,0.21,0.15,0.22,0.20,0,9.7,-0.22,3.5,3.38,3.5,10.61,Walking
0.22,0.21,0.18,0.22,0.20,0.20,0.19,0.23,0.21,0.20,0.21,0.25,0.21,0.17,0.19,0,9.76,-0.21,3.52,3.27,3.52,10.65,Walking
0.18,0.24,0.18,0.21,0.22,0.21,0.21,0.19,0.20,0.21,0.21,0.20,0.21,0.20,0.20,0,9.79,-0.21,3.49,3.4,3.49,10.66,Walking
0.20,0.22,0.17,0.18,0.24,0.20,0.19,0.20,0.24,0.19,0.19,0.26,0.19,0.19,0.20,0,9.7,-0.11,3.56,3.3,3.56,10.61,Walking
0.15,0.21,0.26,0.24,0.16,0.19,0.22,0.18,0.23,0.21,0.17,0.21,0.23,0.21,0.21,0,9.74,-0.02,3.38,3.16,3.38,10.59,Walking
0.14,0.22,0.19,0.24,0.23,0.22,0.24,0.20,0.15,0.21,0.22,0.17,0.22,0.21,0.21,0,9.58,-0.13,3.51,3.22,3.51,10.46,Walking
0.16,0.20,0.25,0.18,0.23,0.20,0.21,0.18,0.21,0.21,0.19,0.22,0.23,0.18,0.20,0,9.76,-0.12,3.58,3.37,3.58,10.69,Walking
0.19,0.21,0.17,0.22,0.22,0.21,0.19,0.22,0.20,0.21,0.25,0.21,0.20,0.16,0.20,0,9.76,-0.18,3.65,3.46,3.65,10.71,Walking
0.16,0.18,0.20,0.19,0.18,0.16,0.16,0.24,0.19,0.16,0.14,0.13,0.17,0.24,0.22,0,8.6,0.13,3.44,3.32,3.44,9.33,Walking
0.24,0.48,0.12,0.13,0.06,0.11,0.19,0.32,0.19,0.15,0.15,0.35,0.19,0.19,0.14,0,9.39,-0.17,3.9,6.73,3.9,11.43,Walking
0.18,0.23,0.24,0.22,0.15,0.22,0.20,0.16,0.18,0.21,0.23,0.22,0.21,0.15,0.22,0,8.72,0.04,5.69,8.11,5.69,12.38,Walking
0.22,0.24,0.13,0.24,0.18,0.23,0.20,0.13,0.21,0.19,0.23,0.23,0.21,0.15,0.21,0,8.76,-0.02,5.98,8.14,5.98,12.57,Walking
0.23,0.23,0.15,0.18,0.23,0.23,0.22,0.14,0.18,0.18,0.28,0.17,0.16,0.19,0.21,0,8.23,-0.35,6.56,8.24,6.56,12.55,Walking
0.14,0.24,0.18,0.23,0.22,0.17,0.22,0.23,0.18,0.16,0.27,0.14,0.16,0.27,0.19,0,8.84,-0.18,6.52,7.57,6.52,12.73,Walking
0.23,0.18,0.24,0.18,0.20,0.26,0.16,0.22,0.18,0.15,0.20,0.21,0.15,0.24,0.20,0,8.17,0.3,5.87,8.1,5.87,12.05,Walking
0.21,0.24,0.17,0.20,0.20,0.23,0.16,0.20,0.18,0.20,0.18,0.21,0.19,0.20,0.23,0,8.41,0.19,5.98,8.4,5.98,12.49,Walking
0.25,0.19,0.14,0.27,0.19,0.26,0.21,0.18,0.21,0.11,0.22,0.19,0.21,0.23,0.18,0,7.59,-0.19,5.83,7.68,5.83,11.47,Walking
0.21,0.17,0.21,0.20,0.23,0.22,0.23,0.19,0.17,0.14,0.18,0.17,0.22,0.27,0.20,0,8.05,0.29,6.16,7.77,6.16,11.77,Walking
0.20,0.15,0.22,0.20,0.24,0.20,0.22,0.20,0.21,0.11,0.19,0.22,0.21,0.19,0.23,0,8.56,0.43,6.41,7.88,6.41,12.42,Walking
0.19,0.17,0.21,0.18,0.27,0.18,0.22,0.19,0.26,0.14,0.17,0.18,0.22,0.24,0.20,0,8.73,0.53,6.48,7.56,6.48,12.41,Walking
0.19,0.11,0.24,0.24,0.25,0.19,0.18,0.21,0.23,0.17,0.18,0.23,0.19,0.25,0.18,0,8.97,0.15,6.56,7.53,6.56,12.58,Walking
0.21,0.08,0.26,0.19,0.28,0.22,0.19,0.21,0.22,0.11,0.16,0.22,0.23,0.15,0.26,0,8.31,0.43,6.56,7.86,6.56,12.4,Walking
0.19,0.11,0.28,0.25,0.20,0.18,0.23,0.23,0.22,0.12,0.21,0.11,0.25,0.21,0.25,0,8.41,0.28,6,7.43,6,12.14,Walking
0.05,0.14,0.11,0.09,0.06,0.05,0.12,0.14,0.12,0.03,0.07,0.11,0.10,0.09,0.08,0,3.75,0.12,5.11,7.62,5.11,4.75,Walking
0.09,0.13,0.25,0.27,0.16,0.23,0.23,0.23,0.16,0.09,0.29,0.21,0.24,0.14,0.08,0,8.81,-1.06,7,3.94,7,11.65,Walking
0.09,0.12,0.27,0.16,0.17,0.28,0.21,0.23,0.13,0.10,0.24,0.28,0.17,0.16,0.07,0,8.45,-0.76,7.77,4.14,7.77,11.69,Walking
0.09,0.11,0.22,0.32,0.11,0.25,0.26,0.21,0.15,0.09,0.32,0.24,0.15,0.15,0.08,0,8.43,-1.03,7.46,3.73,7.46,11.68,Walking
0.12,0.11,0.18,0.29,0.11,0.28,0.27,0.19,0.12,0.12,0.27,0.27,0.20,0.12,0.08,0,8.48,-0.92,8.05,3.91,8.05,11.83,Walking
0.13,0.11,0.16,0.31,0.13,0.25,0.28,0.22,0.14,0.02,0.32,0.25,0.17,0.14,0.09,0,8.65,-1.28,7.49,4.03,7.49,11.89,Walking
0.12,0.11,0.17,0.27,0.20,0.33,0.25,0.18,0.12,0.05,0.26,0.18,0.26,0.16,0.09,0,8.16,-1,7.62,3.94,7.62,11.49,Walking
0.09,0.08,0.25,0.26,0.12,0.25,0.28,0.23,0.13,0.09,0.33,0.19,0.19,0.17,0.07,0,8.29,-1.02,8.15,3.82,8.15,11.87,Walking
0.09,0.11,0.12,0.35,0.14,0.31,0.27,0.19,0.12,0.09,0.29,0.24,0.16,0.19,0.08,0,8.09,-0.74,8.15,3.82,8.15,11.61,Walking
0.09,0.08,0.27,0.24,0.17,0.24,0.27,0.23,0.14,0.09,0.26,0.25,0.19,0.18,0.05,0,8.49,-1.02,7.61,3.73,7.61,11.7,Walking
0.24,0.26,0.20,0.18,0.07,0.19,0.24,0.18,0.21,0.08,0.22,0.09,0.21,0.27,0.13,0,9.72,0.31,5.6,4.53,5.6,11.64,Walking
0.27,0.27,0.17,0.17,0.07,0.19,0.17,0.16,0.29,0.12,0.19,0.22,0.16,0.17,0.15,0,9.96,0.14,5.62,4.2,5.62,11.91,Walking
0.26,0.29,0.17,0.16,0.07,0.19,0.20,0.14,0.24,0.11,0.19,0.18,0.19,0.25,0.07,0,10.02,0.27,5.77,4.51,5.77,11.93,Walking
0.24,0.23,0.22,0.19,0.09,0.19,0.17,0.20,0.26,0.08,0.18,0.19,0.21,0.18,0.16,0,9.8,0.36,5.92,4.47,5.92,11.85,Walking
0.25,0.27,0.22,0.12,0.10,0.21,0.12,0.21,0.24,0.09,0.20,0.21,0.14,0.28,0.08,0,10.12,0.14,5.72,4.43,5.72,11.95,Walking
0.26,0.23,0.23,0.13,0.10,0.21,0.18,0.19,0.20,0.11,0.18,0.19,0.22,0.25,0.08,0,9.92,0.17,5.83,4.36,5.83,11.78,Walking
0.25,0.24,0.19,0.19,0.08,0.17,0.21,0.16,0.25,0.14,0.17,0.20,0.20,0.20,0.15,0,9.95,0.2,5.73,4.17,5.73,11.87,Walking
0.24,0.25,0.16,0.20,0.09,0.16,0.18,0.22,0.21,0.13,0.18,0.18,0.22,0.25,0.11,0,9.92,0.32,5.77,4.17,5.77,11.8,Walking
0.25,0.26,0.17,0.19,0.07,0.17,0.18,0.21,0.21,0.14,0.17,0.21,0.20,0.21,0.13,0,10.06,0.29,5.77,4.13,5.77,11.94,Walking
0.23,0.21,0.20,0.17,0.12,0.17,0.21,0.22,0.22,0.11,0.13,0.17,0.26,0.23,0.10,0,9.71,0.57,6.12,4.16,6.12,11.78,Walking
0.24,0.24,0.20,0.21,0.07,0.16,0.17,0.26,0.24,0.11,0.16,0.19,0.25,0.18,0.14,0,9.92,0.28,5.64,3.86,5.64,11.72,Walking
0.25,0.23,0.22,0.15,0.10,0.16,0.19,0.20,0.24,0.12,0.15,0.21,0.25,0.19,0.11,0,10.06,0.41,5.85,4.13,5.85,11.98,Walking
0.21,0.27,0.21,0.16,0.07,0.18,0.20,0.20,0.16,0.19,0.18,0.21,0.15,0.25,0.10,0,9.92,0.29,5.9,4.35,5.9,11.92,Walking
0.22,0.26,0.20,0.19,0.08,0.19,0.19,0.22,0.21,0.13,0.13,0.22,0.22,0.24,0.10,0,9.85,0.32,5.79,4.25,5.79,11.74,Walking
0.24,0.25,0.19,0.20,0.08,0.17,0.18,0.24,0.23,0.09,0.15,0.21,0.24,0.23,0.11,0,9.87,0.22,5.64,4.14,5.64,11.68,Walking
0.21,0.27,0.20,0.18,0.09,0.15,0.20,0.23,0.20,0.12,0.16,0.20,0.19,0.27,0.10,0,9.86,0.27,5.69,4.29,5.69,11.69,Walking
0.25,0.21,0.22,0.19,0.08,0.14,0.19,0.22,0.26,0.12,0.16,0.18,0.27,0.21,0.09,0,10,0.14,5.85,4.03,5.85,11.87,Walking
0.26,0.21,0.19,0.19,0.09,0.21,0.18,0.18,0.23,0.11,0.18,0.21,0.21,0.19,0.12,0,9.8,0.25,5.95,4.43,5.95,11.88,Walking
0.25,0.20,0.23,0.19,0.08,0.16,0.19,0.20,0.24,0.09,0.19,0.20,0.22,0.22,0.06,0,9.98,0.18,5.98,4.29,5.98,11.95,Walking
0.25,0.19,0.21,0.24,0.08,0.20,0.16,0.21,0.26,0.10,0.15,0.18,0.28,0.17,0.14,0,9.77,0.21,5.88,4.16,5.88,11.7,Walking
0.24,0.20,0.29,0.13,0.08,0.17,0.16,0.24,0.26,0.09,0.18,0.18,0.20,0.25,0.11,0,9.91,0.18,5.7,4.06,5.7,11.71,Walking
0.26,0.20,0.25,0.17,0.08,0.19,0.20,0.21,0.20,0.11,0.16,0.24,0.14,0.23,0.12,0,9.62,0.34,5.77,4.4,5.77,11.59,Walking
0.27,0.20,0.20,0.21,0.09,0.19,0.15,0.23,0.23,0.09,0.18,0.18,0.22,0.22,0.11,0,9.87,0.32,5.82,4.29,5.82,11.8,Walking
0.13,0.18,0.10,0.07,0.05,0.11,0.09,0.10,0.16,0.06,0.10,0.11,0.09,0.13,0.07,0,5.5,0.24,5.55,6.11,5.55,6.5,Walking
0.16,0.18,0.26,0.20,0.22,0.16,0.22,0.21,0.28,0.08,0.16,0.19,0.23,0.24,0.20,0,8.18,0.52,11.93,8.14,11.93,16.08,Walking
0.21,0.19,0.23,0.21,0.14,0.20,0.25,0.22,0.16,0.08,0.14,0.23,0.24,0.26,0.16,0,6.76,-0.29,11.94,8.51,11.94,15.12,Walking
0.24,0.13,0.25,0.27,0.09,0.29,0.20,0.14,0.23,0.03,0.20,0.14,0.19,0.27,0.21,0,6.45,0.03,11.96,8.7,11.96,15.52,Walking
0.21,0.24,0.14,0.20,0.19,0.22,0.21,0.16,0.23,0.06,0.23,0.22,0.12,0.18,0.27,0,7.71,0.3,12.78,8.84,12.78,17.01,Walking
0.30,0.12,0.17,0.19,0.18,0.20,0.21,0.16,0.22,0.04,0.19,0.19,0.28,0.17,0.18,0,8.26,-0.19,12.94,8.9,12.94,17.18,Walking
0.23,0.16,0.22,0.17,0.15,0.19,0.18,0.22,0.23,0.10,0.20,0.21,0.20,0.22,0.19,0,8.39,-0.4,12.36,8.74,12.36,16.53,Walking
0.27,0.17,0.17,0.16,0.20,0.24,0.23,0.18,0.14,0.10,0.18,0.23,0.14,0.28,0.19,0,7.12,-0.07,12.87,8.99,12.87,16.58,Walking
0.22,0.23,0.12,0.22,0.22,0.26,0.15,0.16,0.19,0.11,0.18,0.21,0.16,0.21,0.26,0,8.02,0.59,12.68,9.5,12.68,17.5,Walking
0.24,0.26,0.16,0.18,0.16,0.22,0.22,0.14,0.20,0.09,0.24,0.22,0.18,0.20,0.19,0,7.75,-0.56,12.06,9.14,12.06,16.45,Walking
0.21,0.24,0.16,0.21,0.21,0.24,0.16,0.20,0.22,0.08,0.22,0.21,0.19,0.19,0.23,0,7.42,-0.22,12.38,8.81,12.38,16.3,Walking
0.27,0.18,0.17,0.20,0.15,0.19,0.23,0.17,0.22,0.12,0.27,0.23,0.19,0.20,0.14,0,7.76,-1.4,12.45,8.79,12.45,16.35,Walking
0.20,0.22,0.28,0.11,0.15,0.22,0.19,0.22,0.18,0.13,0.19,0.20,0.23,0.24,0.17,0,7.09,-0.6,11.48,8.78,11.48,15.17,Walking
0.17,0.22,0.22,0.27,0.13,0.20,0.23,0.20,0.22,0.10,0.14,0.22,0.20,0.22,0.24,0,7.58,0.17,11.21,8.76,11.21,15.32,Walking
0.16,0.20,0.22,0.22,0.17,0.17,0.24,0.21,0.20,0.11,0.22,0.22,0.17,0.17,0.24,0,7.88,0,12.22,8.43,12.22,16.27,Walking
0.19,0.24,0.20,0.18,0.20,0.21,0.17,0.22,0.18,0.12,0.17,0.22,0.22,0.24,0.16,0,7.93,-0.39,12.09,8.85,12.09,16.26,Walking
0.17,0.22,0.20,0.20,0.19,0.19,0.21,0.17,0.26,0.08,0.23,0.20,0.21,0.20,0.19,0,8.17,-0.47,12.42,8.62,12.42,16.35,Walking
0.20,0.22,0.20,0.21,0.16,0.25,0.21,0.22,0.19,0.03,0.24,0.15,0.15,0.25,0.24,0,6.14,0.29,12.27,8.56,12.27,15.83,Walking
0.17,0.20,0.24,0.18,0.21,0.23,0.17,0.19,0.20,0.07,0.30,0.14,0.17,0.22,0.19,0,7.8,-0.57,12.53,9.06,12.53,16.74,Walking
0.20,0.23,0.22,0.15,0.18,0.19,0.24,0.18,0.24,0.05,0.23,0.19,0.22,0.17,0.21,0,7.32,-0.57,12.13,8.55,12.13,15.95,Walking
0.20,0.24,0.17,0.19,0.17,0.17,0.23,0.24,0.18,0.11,0.19,0.20,0.26,0.15,0.23,0,7.21,-0.13,12.45,8.15,12.45,15.77,Walking
0.21,0.20,0.19,0.23,0.14,0.19,0.13,0.23,0.24,0.08,0.23,0.21,0.28,0.10,0.20,0,8.83,-0.74,12.56,8.45,12.56,16.9,Walking
0.18,0.22,0.16,0.29,0.16,0.16,0.20,0.31,0.18,0.06,0.23,0.19,0.20,0.18,0.23,0,7.46,-0.03,12.28,8.08,12.28,16.02,Walking
0.20,0.16,0.27,0.20,0.18,0.15,0.27,0.22,0.22,0.05,0.22,0.20,0.20,0.17,0.23,0,7.41,-0.06,12.08,8.26,12.08,15.67,Walking
0.17,0.21,0.24,0.21,0.19,0.13,0.19,0.32,0.17,0.11,0.14,0.21,0.31,0.20,0.17,0,7.94,-0.38,11.68,8.02,11.68,15.11,Walking
0.15,0.20,0.28,0.23,0.13,0.21,0.17,0.25,0.19,0.10,0.20,0.25,0.18,0.20,0.19,0,7.78,-0.51,11.73,8.41,11.73,15.63,Walking
0.10,0.16,0.16,0.16,0.09,0.12,0.14,0.14,0.10,0.09,0.09,0.18,0.14,0.12,0.13,0,5.05,-0.08,11.17,9.13,11.17,9.65,Walking
0.14,0.16,0.32,0.20,0.20,0.22,0.22,0.22,0.23,0.12,0.12,0.15,0.34,0.22,0.20,0,9.57,1.14,4.21,4.77,4.21,11.3,Walking
0.13,0.22,0.21,0.21,0.25,0.20,0.24,0.26,0.18,0.13,0.10,0.25,0.29,0.18,0.21,0,9.74,0.94,4.44,4.6,4.44,11.37,Walking
0.15,0.21,0.22,0.17,0.27,0.22,0.21,0.21,0.21,0.19,0.10,0.29,0.23,0.20,0.20,0,9.77,0.97,4.38,4.9,4.38,11.52,Walking
0.12,0.22,0.22,0.19,0.27,0.22,0.19,0.22,0.16,0.23,0.19,0.21,0.20,0.20,0.23,0,9.93,0.99,4.42,4.92,4.42,11.83,Walking
0.13,0.25,0.21,0.15,0.28,0.19,0.23,0.23,0.18,0.20,0.12,0.25,0.22,0.22,0.20,0,9.95,1.09,4.47,4.86,4.47,11.82,Walking
0.13,0.26,0.18,0.22,0.23,0.21,0.22,0.21,0.19,0.19,0.14,0.22,0.23,0.23,0.21,0,9.84,1.16,4.49,4.86,4.49,11.73,Walking
0.14,0.24,0.24,0.21,0.20,0.20,0.23,0.20,0.22,0.18,0.13,0.25,0.24,0.23,0.19,0,9.93,1.03,4.24,4.7,4.24,11.6,Walking
0.15,0.24,0.22,0.18,0.24,0.21,0.18,0.28,0.23,0.13,0.14,0.22,0.25,0.21,0.21,0,9.85,0.97,4.51,4.66,4.51,11.69,Walking
0.15,0.19,0.27,0.20,0.21,0.26,0.15,0.25,0.20,0.16,0.16,0.19,0.22,0.24,0.21,0,9.59,0.95,4.6,4.99,4.6,11.58,Walking
0.16,0.24,0.16,0.28,0.18,0.18,0.23,0.25,0.19,0.17,0.22,0.22,0.18,0.19,0.22,0,10.11,0.76,4.58,4.59,4.58,12.07,Walking
0.17,0.29,0.18,0.20,0.19,0.16,0.27,0.19,0.18,0.23,0.25,0.23,0.16,0.21,0.18,0,10.14,0.38,4.86,4.35,4.86,12.14,Walking
